API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Apr 14 11:00:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
 X =-1.435019982329349E+08 Y =-4.351405305313239E+07 Z =-3.245338024003431E+04
2461137.457320602 = A.D. 2026-Apr-06 22:58:32.5000 TDB 
 X =-1.434743332821770E+08 Y =-4.361719364151875E+07 Z =-3.264643496771716E+04
2461137.498987269 = A.D. 2026-Apr-06 23:58:32.5000 TDB 
 X =-1.434463374757200E+08 Y =-4.371945246507052E+07 Z =-3.282240662191994E+04
2461137.540653935 = A.D. 2026-Apr-07 00:58:32.5000 TDB 
 X =-1.434177265965406E+08 Y =-4.382115122644307E+07 Z =-3.296943563869409E+04
2461137.582320602 = A.D. 2026-Apr-07 01:58:32.5000 TDB 
 X =-1.433885755550969E+08 Y =-4.392262749283934E+07 Z =-3.309215465664491E+04
2461137.623987269 = A.D. 2026-Apr-07 02:58:32.5000 TDB 
 X =-1.433590331773065E+08 Y =-4.402402372387164E+07 Z =-3.319786663511582E+04
2461137.665653935 = A.D. 2026-Apr-07 03:58:32.5000 TDB 
 X =-1.433292026922212E+08 Y =-4.412538438921408E+07 Z =-3.329142761790752E+04
2461137.707320602 = A.D. 2026-Apr-07 04:58:32.5000 TDB 
 X =-1.432991470526580E+08 Y =-4.422672099815027E+07 Z =-3.337572757319175E+04
2461137.748987269 = A.D. 2026-Apr-07 05:58:32.5000 TDB 
 X =-1.432689052736959E+08 Y =-4.432803458557970E+07 Z =-3.345252068471909E+04
2461137.790653935 = A.D. 2026-Apr-07 06:58:32.5000 TDB 
 X =-1.432385026119959E+08 Y =-4.442932295936731E+07 Z =-3.352291802807339E+04
2461137.832320602 = A.D. 2026-Apr-07 07:58:32.5000 TDB 
